Date of Exam/Incident,Exam Name,Conducting Body,Conducting Body Type,Area(s) of Incident,Leak Confirmation Status,Action taken,Note about action Taken,Note about incident,References,Appeared Students,Record Source,year,Category,Outcome,Education Level,Students Affected (Researched),Student Count Basis,Student Count Source,Students
25-02-2025,Manipur HSLC (Class 10) Social Science paper,Board of Secondary Education Manipur (BOSEM),State,Manipur,confirmed,BOSEM filed complaint with Manipur Cyber Crime Unit; two teachers from Thoubal arrested March 2,Board exam committee deliberated re-exam but did not cancel the conducted paper; guilty face minimum 5 years jail and Rs 10 lakh fine,"Paper leaked on WhatsApp groups around 8:30 am, 30 minutes before the 9 am exam","""HSLC 2025 question paper leaked 30 minutes before exam, DESAM demands investigation"" - Imphal Times, https://www.imphaltimes.com/news/hslc-2025-question-paper-leaked-30-minutes-before-exam-desam-demands-investigation/",,Added 2024-2026 (verified news sources),2025,School Board,Legal/administrative action only,School — Class 10,36943.0,"appeared; Manipur HSLC 2025: 36,943 appeared","BSEM Manipur 10th Result 2025 - Careers360, https://school.careers360.com/boards/bsem/manipur-10th-class-results-2025",36943.0
27-02-2025,HBSE Class 12 English paper,Board of School Education Haryana (BSEH),State,Haryana,confirmed,"Exam cancelled in Palwal; two invigilators arrested in Sonipat; FIR against a student and centre superintendent; re-exam held March 29, 2025","2,044 candidates (English plus Class 10 maths) reappeared in re-exams; 37 students caught cheating during 2025 exams","English paper leaked on WhatsApp within 30 minutes of exam start; leaks reported from Palwal, Sonipat and Nuh","""Haryana Board Class 10, 12 re-exam 2025 on March 27, 29; 2,044 students to appear"" - Careers360, https://news.careers360.com/haryana-board-class-10-12-re-exam-2025-date-hbse-march-27-29-bseh-paper-leak-english-maths-2044-students-report",2044.0,Added 2024-2026 (verified news sources),2025,School Board,Re-exam held or ordered,School — Class 12,2044.0,as reported in incident coverage,"""Haryana Board Class 10, 12 re-exam 2025 on March 27, 29; 2,044 students to appear"" - Careers360, https://news.careers360.com/haryana-board-class-10-12-re-exam-2025-date-hbse-march-27-29-bseh-paper-leak-english-maths-2044-students-report",2044.0
28-02-2025,HBSE Class 10 Mathematics paper,Board of School Education Haryana (BSEH),State,Haryana,confirmed,"Exam cancelled at affected centres; re-exam held March 27, 2025; teachers detained in Nuh; FIR filed","Part of 2,044 candidates who reappeared in March 27/29 re-exams",Maths paper leaked and circulated on WhatsApp in Nuh district during Feb 28 exam,"""Haryana Board Class 10, 12 exams 2025 leaked; 12th English paper cancelled in Palwal, FIR filed"" - Careers360, https://news.careers360.com/haryana-board-paper-leak-2025-class-12-english-exam-cancelled-in-palwal-fir-filed-class-10-mathematics-nuh-reports/amp",,Added 2024-2026 (verified news sources),2025,School Board,Re-exam held or ordered,School — Class 10,271499.0,"appeared; HBSE Class 10 2025: 2,71,499 appeared","Haryana HBSE 10th Results 2025 - Careers360, https://school.careers360.com/boards/hbse/haryana-10th-results-2025-direct-link",271499.0
28-02-2025,PSEB Class 12 English paper,Punjab School Education Board (PSEB),State,Punjab,confirmed,Board cancelled the Feb 28 English paper after flying-squad investigation report; re-exam ordered with fresh date,"Cancellation announced March 3 based on board flying squad findings; 278 flying teams deployed across 2,300 centres","Class 12 English paper compromised/leaked, leading to statewide cancellation","""Punjab Board 2025: PSEB cancels class 12 English paper after paper leak"" - India TV News, https://www.indiatvnews.com/education/high-schools/punjab-board-2025-pseb-cancels-class-12-english-paper-after-paper-leak-check-details-2025-03-03-978872",,Added 2024-2026 (verified news sources),2025,School Board,"Cancelled/Postponed, no re-exam recorded",School — Class 12,265388.0,appeared; Whole PSEB Class 12 2025; English paper cancelled at one Ferozepur centre,"PSEB Punjab Board 12th 2025 - Indian Express, https://indianexpress.com/article/education/pseb-punjab-board-12th-toppers-list-2025-list-of-scoring-students-10004582/",265388.0
02-03-2025,MP Board Class 10/12 exams 2025 (Telegram paper-leak selling racket),Madhya Pradesh Board of Secondary Education (MPBSE),State,Madhya Pradesh,accused,Crime branch arrested 19-year-old from Bhind running 3 Telegram groups; another held in Chhindwara; action against a dozen-plus Telegram groups,"Police said racket sold fake leaked papers for Rs 500-2,000; no genuine board paper leak established","Ahead of exams from Feb 25, 2025, Telegram channels claimed to sell MP Board 10th/12th papers; fraudsters cheated students","""MP board exam scam: Telegram paper leak fraud"" - Aaj Tak, https://www.aajtak.in/madhya-pradesh/story/mp-board-exam-scam-telegram-paper-leak-fraud-lclnt-rptc-2179875-2025-03-02",,Added 2024-2026 (verified news sources),2025,School Board,No judgement — dismissed or no action,School — Class 10,1660252.0,"registered; MPBSE 2025 main exams total (9,53,777 Class 10 + 7,06,475 Class 12)","MP Board Exams 2025 - Shiksha, https://www.shiksha.com/news/boards-mp-board-exams-2025-mpbse-class-12-exam-begins-with-strict-guidelines-blogId-191380",1660252.0
03-03-2025,Manipur Class 12 (HSSLC) Physics paper,Council of Higher Secondary Education Manipur (COHSEM),State,Manipur,confirmed,Two arrested including physics teacher who was supervisor at AOC exam centre,Exam committee weighed re-exam; leak detected and police acted within days,"Physics paper leaked about 30 minutes before the March 3 exam, days after HSLC Social Science leak","""Paper leak in Class XII exam detected"" - The Sangai Express, https://www.thesangaiexpress.com/Encyc/2025/3/3/By-Our-Staff-ReporterIMPHAL-Mar-3-Days-after-HSLCE-Social-Science-question-paper-was-leaked-and-two-teache.html",,Added 2024-2026 (verified news sources),2025,School Board,Re-exam held or ordered,School — Class 12,28909.0,"appeared; Manipur HSSLC 2025: 28,909 appeared","Manipur COHSEM 12th results 2025 - Hindustan Times, https://www.hindustantimes.com/education/board-exams/manipur-board-class-12-result-2025-cohsem-12th-results-out-94-students-pass-101745578938912.html",28909.0
04-03-2025,UP Board Class 10 Mathematics paper (Etah),Uttar Pradesh Madhyamik Shiksha Parishad (UPMSP),State,Uttar Pradesh,confirmed,Case registered against centre-in-charge under UP Public Examination (Prevention of Unfair Means) Act 2024; phone seized; probe ordered,Paper posted at 9:37 am on official 125-member WhatsApp group while exam was in progress; withdrawn quickly; exam not cancelled,"Centre-in-charge of Chaudhary BL Inter College, Etah shared live question paper on WhatsApp group during exam","""Class 10 mathematics paper leaked on WhatsApp group: UP Board's probe on"" - Business Today, https://www.businesstoday.in/education/exams/story/class-10-mathematics-paper-leaked-on-whatsapp-group-up-boards-probe-on-466593-2025-03-04",,Added 2024-2026 (verified news sources),2025,School Board,"Cancelled/Postponed, no re-exam recorded",School — Class 10,2732000.0,registered; Over 27.32 lakh Class 10 of 54.37 lakh total UP Board 2025,"UP Board exams 2025 begin for 54.37 lakh - Careers360, https://news.careers360.com/up-board-class-10-12-exams-2025-begin-today-for-54-37-lakh-candidates-timings-dress-code-guidelines",2732000.0
08-03-2025,HPBOSE Class 12 English paper,Himachal Pradesh Board of School Education (HPBOSE),State,Himachal Pradesh,confirmed,"Exam cancelled across all centres in the state as precaution; re-exam held March 29, 2025","Seal of Class 12 English paper mistakenly opened during Class 10 exam on March 7 at GSSS Chowari, Chamba; breach verified via Exam Mitra app footage",Board cancelled the paper statewide over possibility of leak before scheduled March 8 exam,"""HPBOSE cancels Class 12 English exam 2025 due to possibility of paper leak"" - Careers360, https://news.careers360.com/himachal-pradesh-board-hpbose-cancels-class-12-english-exam-2025-due-possibility-of-paper-leak",,Added 2024-2026 (verified news sources),2025,School Board,Re-exam held or ordered,School — Class 12,85777.0,appeared; Whole HPBOSE Class 12 2025 cohort; English paper cancelled statewide,"HPBOSE 12th result 2025 - Times of India, https://timesofindia.indiatimes.com/education/news/hpbose-12th-result-2025-expected-to-be-released-by-this-date-check-past-trends-how-to-access-and-other-details/articleshow/120718656.cms",85777.0
20-03-2025,Assam Class 9 Annual Examination English paper (Barpeta district),Assam State School Education Board (ASSEB),State,Assam,confirmed,March 20 English exam cancelled by Barpeta Inspector of Schools; new date to be announced; matter reported to authorities,Cancellation order cited unavoidable circumstances after officials learned of leak on the evening before the exam,Class 9 English annual exam question paper went viral on social media in Barpeta district before the scheduled exam,"""Assam Class 9 English paper 2025 cancelled due to paper leak"" - Careers360, https://news.careers360.com/assam-class-9-english-paper-2025-leaked-social-media-annual-exam-cancelled/amp",,Added 2024-2026 (verified news sources),2025,School Board,"Cancelled/Postponed, no re-exam recorded",School — other/combined,,not found: no credible figure published,,
21-03-2025,"Assam Higher Secondary First Year (Class 11) Examination - Mathematics, then all remaining papers",Assam State School Education Board (ASSEB),State,Assam,confirmed,All remaining Class 11 exams (36 subjects) cancelled; FIR filed at CID HQ plus 18 cases at police stations; affiliation of 15 private schools in 10 districts suspended; schools barred from Class 11 admissions 2025-26,Student bodies demanded Education Minister's resignation and removal of board chief; leak blamed on 18 schools breaking security seals a day early,HS first year Mathematics paper scheduled March 21 leaked after 18 schools including 3 government institutes broke the security seal on March 20; multiple further leaks reported across the state,"""Assam: All Class 11 state board exams cancelled after paper leak"" - Deccan Herald/PTI, https://www.nationalheraldindia.com/national/assam-all-class-11-state-board-exams-cancelled-after-paper-leak",,Added 2024-2026 (verified news sources),2025,School Board,"Cancelled/Postponed, no re-exam recorded",School — other/combined,,not found: no credible figure published,,
21-03-2025,Telangana SSC (Class 10) Telugu first-language paper,"Directorate of Government Examinations, Telangana",State,Telangana,confirmed,"Five arrested (including private teacher and Xerox shop owner), minor apprehended; multiple exam officials dismissed",No re-exam; paper photographed during exam and circulated with written answers via WhatsApp; six more suspects probed,"Minor climbed wall of girls' residential school exam centre at Nakrekal, Nalgonda, photographed Telugu paper; answers circulated for money","""Five held in SSC Telugu exam paper leak case"" - Deccan Chronicle, https://www.deccanchronicle.com/southern-states/telangana/five-held-in-ssc-telugu-exam-paper-leak-case-1868724",500000.0,Added 2024-2026 (verified news sources),2025,School Board,No judgement — dismissed or no action,School — Class 10,500000.0,as reported in incident coverage,"""Five held in SSC Telugu exam paper leak case"" - Deccan Chronicle, https://www.deccanchronicle.com/southern-states/telangana/five-held-in-ssc-telugu-exam-paper-leak-case-1868724",500000.0
16-04-2025,UPESSC Assistant Professor Recruitment Examination,Uttar Pradesh Education Service Selection Commission (UPESSC),State,Uttar Pradesh,confirmed,"Three accused arrested by STF; FIR at Vibhutikhand police station, Lucknow; UP government cancelled the exam and ordered fresh recruitment; UPESSC chairperson resigned","Accused, including the chairperson's confidential assistant, accessed question papers during the moderation process and supplied them to candidates for money",Paper leak racket uncovered during the April 16-17 assistant professor exam after STF intelligence; CM ordered confidential inquiry leading to cancellation,"""UPESSC assistant professor exam cancelled after paper leak; three arrested"" - Careers360, https://news.careers360.com/upessc-assistant-professor-exam-cancellation-paper-leak-stf-arrests-fir-chairperson-resignation-fresh-recruitment-examination/amp",,Added 2024-2026 (verified news sources),2025,Teacher & Academia,"Cancelled/Postponed, no re-exam recorded",Postgraduate & professional,114000.0,"registered; Approx 1.14 lakh applied for 1,017 assistant professor posts; exam cancelled Jan 2026","UP govt cancels assistant professor recruitment exam - Times of India, https://timesofindia.indiatimes.com/city/lucknow/cm-cancels-asst-prof-exam-over-irregularities/articleshow/126401717.cms",114000.0
04-05-2025,NEET UG 2025 (fake leak claims),National Testing Agency (NTA),Central,All India,accused,"NTA flagged over 1,500 suspicious paper-leak claims; action against 165 Telegram channels and 32 Instagram accounts; exam held as scheduled and not cancelled",NTA declared all leak claims baseless/fraudulent scams targeting anxious aspirants; warned of penalties under Public Examinations (Prevention of Unfair Means) Act,"Ahead of the May 4, 2025 exam, social media accounts claimed to sell leaked NEET UG papers; no genuine leak was established, unlike the 2024 episode","""NEET 2025: Over 1500 suspicious Paper Leak Claims, NTA Flags Telegram, Instagram Accounts"" - Medical Dialogues, https://medicaldialogues.in/news/education/medical-admissions/neet-2025-over-1500-suspicious-paper-leak-claims-nta-flags-122-telegram-instagram-accounts-147607",,Added 2024-2026 (verified news sources),2025,Medical,"Cancelled/Postponed, no re-exam recorded",Undergraduate entrance & courses,2276069.0,"registered; NEET-UG 2025: 22,76,069 registered, 22,09,318 appeared","NEET 2025 Highlights - Medical Dialogues, https://medicaldialogues.in/news/education/medical-admissions/neet-2025-highlights-check-out-results-toppers-key-statistics-150038",2276069.0
19-07-2025,Special OTET 2025 (Special Odisha Teacher Eligibility Test),"Board of Secondary Education (BSE), Odisha",State,Odisha,confirmed,Exam postponed indefinitely on eve of exam; Crime Branch probe; 8 arrests including BSE vice-president and data entry operator,BSE VP arrested 03-08-2025 after leak traced to his official laptop; Rs 2.4 lakh payment trail found,Question paper for in-service teachers' eligibility test leaked and sold before the 20 July exam across 193 centres in 30 districts; late-night cancellation notification issued,"""OTET question paper leak: Crime Branch arrests Odisha BSE vice president Nihar Ranjan Mohanty"" - OdishaTV, https://odishatv.in/news/odisha/otet-question-paper-leak-crime-branch-arrests-odisha-bse-vice-president-nihar-ranjan-mohanty-269102",75403.0,Added 2024-2026 (verified news sources),2025,Teacher & Academia,"Cancelled/Postponed, no re-exam recorded",Job & recruitment exams,75403.0,as reported in incident coverage,"""OTET question paper leak: Crime Branch arrests Odisha BSE vice president Nihar Ranjan Mohanty"" - OdishaTV, https://odishatv.in/news/odisha/otet-question-paper-leak-crime-branch-arrests-odisha-bse-vice-president-nihar-ranjan-mohanty-269102",75403.0
24-08-2025,"JKSSB Junior Engineer (Electrical) Exam, Power Development Department",Jammu and Kashmir Services Selection Board (JKSSB),State,Jammu and Kashmir,accused,Entire OMR-based exam cancelled same day; to be conducted afresh with new dates,Cancellation ordered after viral videos and candidate claims; political outrage against government; leak never officially confirmed,Videos showed candidates outside a Srinagar centre answering questions on phones; candidates alleged paper circulated on social media before exam held at 35 centres in Jammu and Srinagar,"""JKSSB exams cancelled after paper leak allegations spark outrage"" - Greater Kashmir, https://www.greaterkashmir.com/jammu-kashmir/jkssb-exams-cancelled-after-paper-leak-allegations-spark-outrage/",,Added 2024-2026 (verified news sources),2025,Engineering,"Cancelled/Postponed, no re-exam recorded",Job & recruitment exams,,not found: no credible figure published,,
21-09-2025,UKSSSC Graduate Level Recruitment Examination (416 posts),Uttarakhand Subordinate Service Selection Commission (UKSSSC),State,Uttarakhand,confirmed,Exam cancelled on 11-10-2025 after inquiry commission report; re-exam ordered within 3 months; main accused arrested from Haridwar; state recommended CBI probe,Cancellation followed one-man inquiry commission report and mass protests by Uttarakhand Unemployed Union; candidate photographed paper inside centre,Three pages of question paper photographed inside a Haridwar centre and sent out via WhatsApp during the exam; screenshots went viral on social media,"""UKSSSC Paper Leak: Uttarakhand government cancels graduate-level examination; to be held within 3 months"" - Careers360, https://news.careers360.com/uksssc-paper-leak-uttarakhand-government-cancels-graduate-level-examination-to-be-held-within-3-months",105000.0,Added 2024-2026 (verified news sources),2025,Other Recruitment,Re-exam held or ordered,Job & recruitment exams,105000.0,as reported in incident coverage,"""UKSSSC Paper Leak: Uttarakhand government cancels graduate-level examination; to be held within 3 months"" - Careers360, https://news.careers360.com/uksssc-paper-leak-uttarakhand-government-cancels-graduate-level-examination-to-be-held-within-3-months",105000.0
30-11-2025,West Bengal Police Constable Recruitment Written Exam 2025,West Bengal Police Recruitment Board (WBPRB),State,West Bengal,accused,"10 people arrested in Purba Bardhaman on exam day in question-leak case; court sent 2 to police custody, 8 to judicial custody; exam not cancelled",Separate arrest of a civic volunteer days earlier for taking money promising leaked papers; fake coaching centre operators also held in Barrackpore,Question paper allegedly leaked/circulated and solved via a coaching-centre network during the single-shift written exam; board did not cancel the exam,"""Bardhaman: 10 Arrested in Police Constable Exam Question Leak Case"" - IANS via Social News XYZ, https://www.socialnews.xyz/2025/11/30/bardhaman-10-arrested-in-police-constable-exam-question-leak-case-gallery/",,Added 2024-2026 (verified news sources),2025,Police & Defence,"Cancelled/Postponed, no re-exam recorded",Job & recruitment exams,,not found: no credible figure published,,
18-12-2025,CSIR UGC NET December 2025,National Testing Agency (NTA),Central,Haryana,accused,Two accused arrested in Sonipat; police probe into cheating-mafia network; exam not cancelled,"Haryana CM denied any paper leak, said exam held as per rules; reports said exams at some centres could face cancellation",Question paper allegedly reached a cheating gang a day before the exam; about 37 students allegedly coached with the leaked paper in a Sonipat building at Rs 3-4 lakh each,"""CSIR UGC NET 2025 'paper leaked' in Haryana: two arrested, Congress blames BJP"" - Careers360, https://news.careers360.com/csir-ugc-net-2025-paper-leaked-in-haryana-two-arrested-congress-blames-bjp-nta-jrf-phd-cheating-mafia-gang-recruitment-scam",,Added 2024-2026 (verified news sources),2025,Teacher & Academia,"Cancelled/Postponed, no re-exam recorded",Postgraduate & professional,210000.0,registered; CSIR UGC NET Dec 2025: 2.1 lakh candidates nationally,"CSIR UGC NET Dec 2025 final answer key for 2.1 lakh - Careers360, https://news.careers360.com/csir-ugc-net-december-2025-final-answer-key-out-nta-for-21-lakh-drops-3-questions-jrf-phd-admissions-science-assistant-professor",210000.0
01-01-2026,BCom 5th Semester Advanced Accounting Examination,Bengaluru City University,State,Karnataka,accused,Inquiry panel formed; police complaint filed,"University constituted committee under senior Syndicate member; exam held as scheduled, not cancelled",NSUI alleged the question paper circulated on WhatsApp the evening before the Jan 1 exam; university denied the allegation,"""Bengaluru City University forms panel to look into question paper leak case"" - Deccan Herald, https://www.deccanherald.com/india/karnataka/bengaluru/bengaluru-city-university-forms-panel-to-look-into-question-paper-leak-case-3850741",,Added 2024-2026 (verified news sources),2026,University,"Cancelled/Postponed, no re-exam recorded",Undergraduate entrance & courses,,not found: no credible figure published,,
06-01-2026,Karnataka II PUC preparatory Mathematics exam,Karnataka School Examination and Assessment Board (KSEAB),State,Karnataka,accused,No action reported; board conducted exam with the same leaked paper; students and parents demanded probe,"Paper circulated widely on WhatsApp a day before; board proceeded without change, drawing criticism","II PUC preparatory maths paper leaked on WhatsApp on Jan 5, exam held Jan 6 with identical paper","""Karnataka PU board under fire as II PUC Mathematics paper leaks before exam"" - NewsFirst Prime, https://newsfirstprime.com/karnataka/karnataka-pu-board-under-fire-as-ii-puc-mathematics-paper-leaks-before-exam-10975121",,Added 2024-2026 (verified news sources),2026,School Board,Legal/administrative action only,School — Class 12,710363.0,registered; Proxy: full Karnataka II PUC 2026 cohort for the preparatory exam,"Karnataka PUC 2 begins for over 7 lakh - Indian Express, https://indianexpress.com/article/education/kseab-2026-exams-karnataka-board-puc-2-begins-on-february-28-over-7-lakh-students-10553627/",710363.0
21-01-2026,JEE Main 2026 Session 1 (fake leak claims),National Testing Agency (NTA),Central,All India,accused,NTA advisory dismissing claims; legal action warned,"NTA said papers are never sold on Telegram/WhatsApp, called viral posts fake and part of organised online fraud; exam continued as scheduled","Leak claims flooded WhatsApp, Telegram and X on the first exam day (Jan 21); no leak was ever established","""JEE Main 2026 paper leaked? NTA issues warning against fake paper leak claims"" - India TV News, https://www.indiatvnews.com/education/news/jee-main-2026-paper-leaked-nta-issues-warning-against-fake-paper-leak-claims-2026-01-22-1026996",,Added 2024-2026 (verified news sources),2026,Engineering,No judgement — dismissed or no action,Undergraduate entrance & courses,1300368.0,"appeared; JEE Main 2026 Session 1 Paper 1: 13,00,368 appeared (record 96.25% attendance)","JEE Main 2026 January Session Records Highest-Ever Attendance - ETV Bharat, https://www.etvbharat.com/en/bharat/jee-main-2026-record-around-13-lakhs-candidates-appeared-for-first-session-exam-enn26012905787",1300368.0
16-02-2026,CBSE Class 10 and 12 Board Exams 2026 (fake leak claims),Central Board of Secondary Education (CBSE),Central,All India,accused,"Official advisory dated Feb 16, 2026 against fake leak rumours; security tightened with govt/NIOS/CISCE; stringent action warned","CBSE said viral leaked papers were fake, meant to scam students for money ahead of exams starting Feb 17, 2026",Fake question paper leak claims circulated on social media before/during 2026 exams; board issued formal advisory,"""Advisory on Circulation of Fake News and Rumours (16.02.2026)"" - CBSE official, https://www.cbse.gov.in/cbsenew/documents/Advisory_Fake_News_Rumours_18022026.pdf",4600000.0,Added 2024-2026 (verified news sources),2026,School Board,No judgement — dismissed or no action,School — Class 10,4600000.0,as reported in incident coverage,"""Advisory on Circulation of Fake News and Rumours (16.02.2026)"" - CBSE official, https://www.cbse.gov.in/cbsenew/documents/Advisory_Fake_News_Rumours_18022026.pdf",4600000.0
17-02-2026,MP Board Class 10 English Examination 2026,Madhya Pradesh Board of Secondary Education (MPBSE),State,Madhya Pradesh,accused,Invigilator booked and suspended; centre superintendent and assistant superintendent also suspended,FIR registered under MP Recognised Examinations Act and Bharatiya Nyaya Samhita; MPBSE clarified the paper was not leaked pre-exam and the exam was not cancelled,Invigilator allegedly photographed the paper and posted it on her WhatsApp status around 9:06 am after the exam began at a government school,"""MP Teacher Suspended for Leaking 10th Board Paper on WhatsApp"" - Deccan Chronicle, https://www.deccanchronicle.com/nation/mp-female-teacher-in-mp-school-posts-question-paper-of-10th-board-exams-as-her-whatsapp-status-for-leakage-suspended-1937935",,Added 2024-2026 (verified news sources),2026,School Board,"Cancelled/Postponed, no re-exam recorded",School — Class 10,900000.0,registered; Over 9 lakh registered MPBSE Class 10 2026; approx,"MP Board Class 10th result 2026 - Times of India, https://timesofindia.indiatimes.com/education/news/mp-board-class-10th-result-2026-released-with-73-42-pass-percentage-check-steps-to-download-scorecards-here/articleshow/130274573.cms",900000.0
18-02-2026,Maharashtra HSC Class 12 Chemistry Examination 2026,Maharashtra State Board of Secondary and Higher Secondary Education (MSBSHSE),State,Maharashtra,confirmed,Two arrested including coaching director; case registered at Sadar police station Nagpur; board ruled out re-exam,MSBSHSE said the circulation was localised minutes before the exam so no re-examination; police probe continued into tuition-centre mastermind; probe found Physics paper of Feb 16 also circulated,Paper shared with answers on a WhatsApp group of about 12-13 students at 10:37-10:40 am before the exam at a Nagpur centre; detected after a student's smartphone was seized,"""Maharashtra HSC 2026: No Re-Exam For Chemistry Paper, Says State Board After Nagpur Incident"" - Free Press Journal, https://www.freepressjournal.in/education/maharashtra-hsc-2026-no-re-exam-for-chemistry-paper-says-state-board-after-nagpur-incident",1500000.0,Added 2024-2026 (verified news sources),2026,School Board,No judgement — dismissed or no action,School — Class 12,1500000.0,as reported in incident coverage,"""Maharashtra HSC 2026: No Re-Exam For Chemistry Paper, Says State Board After Nagpur Incident"" - Free Press Journal, https://www.freepressjournal.in/education/maharashtra-hsc-2026-no-re-exam-for-chemistry-paper-says-state-board-after-nagpur-incident",1500000.0
18-02-2026,UP Board Class 10 and 12 Exams 2026 (viral leak claims),Uttar Pradesh Madhyamik Shiksha Parishad (UPMSP),State,Uttar Pradesh,accused,UPMSP warned of FIRs against those circulating forged papers; 18 districts declared sensitive; two solvers arrested in Varanasi,"Board said viral papers were fake/forged and rumours misleading; exams (Feb 18-Mar 12, 2026) continued as scheduled",Anti-social elements circulated fake question papers on social media claiming leaks during 2026 exams,"""UP Board Exams 2026 paper leak? Board Officials issue major statement, caution students"" - India.com, https://www.india.com/education/up-board-exams-2026-paper-leak-board-officials-issue-major-statement-on-rumours-of-upmsp-uttar-pradesh-class-10-12-paper-leak-calls-misleading-caution-students-18-districts-declared-sensitive-8311532/",,Added 2024-2026 (verified news sources),2026,School Board,No judgement — dismissed or no action,School — Class 10,5230297.0,"registered; UP Board 2026 total: 27,50,945 Class 10 + 24,79,352 Class 12","UP Board exams 2026 for 52 lakh students - Careers360, https://news.careers360.com/up-board-exams-2026-high-school-intermediate-upmsp-hs-inter-february-18-control-room-online-monitoring-8033-centres-52-lakh",5230297.0
28-02-2026,Karnataka 2nd PUC Board Exams 2026 (viral leak claims),Karnataka School Examination and Assessment Board (KSEAB),State,Karnataka,accused,"KSEAB denied leak, declared viral papers fake; minister directed monitoring of social media","Scammers demanded about Rs 100 from students claiming to sell original papers ahead of exams beginning Feb 28, 2026",Rumours of 2nd PUC 2026 paper leak spread online before exams; board issued official denial,"""Karnataka 2nd PUC 2026 Question Paper Leak Denied by KSEAB"" - Shiksha News, https://www.shiksha.com/news/boards-karnataka-2nd-puc-2026-question-paper-leak-denied-by-kseab-get-details-blogId-223284",,Added 2024-2026 (verified news sources),2026,School Board,No judgement — dismissed or no action,School — Class 12,710363.0,"registered; Karnataka 2nd PUC 2026: 7,10,363 registered","Karnataka PUC 2 begins for over 7 lakh - Indian Express, https://indianexpress.com/article/education/kseab-2026-exams-karnataka-board-puc-2-begins-on-february-28-over-7-lakh-students-10553627/",710363.0
14-03-2026,CGBSE Class 12 Hindi paper,Chhattisgarh Board of Secondary Education (CGBSE),State,Chhattisgarh,confirmed,"Exam cancelled after examination committee found integrity compromised; FIR filed; re-exam held April 10, 2026 with freshly set paper",CM assured non-bailable charges against culprits; police and cyber cell traced leak source,Hindi paper circulated on social media/WhatsApp shortly before March 14 exam; viral paper matched actual paper,"""CGBSE Hindi Paper Leak: Chhattisgarh board Class 12 re-exam on April 10"" - Careers360, https://news.careers360.com/chhattisgarh-board-12th-hindi-re-exam-2026-on-april-10-timings-cgbse-paper-leak-social-media-claims",,Added 2024-2026 (verified news sources),2026,School Board,"Cancelled/Postponed, no re-exam recorded",School — Class 12,244000.0,"appeared; Whole CGBSE Class 12 2026 (~2.44 lakh); Hindi paper cancelled, re-exam Apr 10","Chhattisgarh Class 12th results - Dainik Bhaskar English, https://www.bhaskarenglish.in/local/chhattisgarh/news/chhattisgarh-class-12-results-jigyasu-verma-tops-state-137816270.html",244000.0
12-04-2026,JSSC Excise Constable Competitive Examination,Jharkhand Staff Selection Commission (JSSC),State,Jharkhand,accused,164+ arrested including 159 candidates; FIR at Tamar PS; 2400-page chargesheet naming 179 accused,Interstate solver gang busted in Apr 11 night raid; BJP demanded CBI probe; chargesheet indicates candidates were also defrauded of crores with purported question papers; exam not reported cancelled,"Candidates allegedly paid Rs 10-15 lakh for advance solved papers; police recovered printers, prepared question papers, answer sheets and admit cards from an under-construction building in Tamar, Ranchi on the eve of the exam","""Jharkhand paper leak 2026: 159 candidates held in excise exam scam case row"" - Deccan Herald, https://www.deccanherald.com/india/jharkhand/jharkhand-159-candidates-among-164-held-over-paper-leak-allegations-in-excise-recruitment-exam-3965519",,Added 2024-2026 (verified news sources),2026,Police & Defence,"Cancelled/Postponed, no re-exam recorded",Job & recruitment exams,148000.0,appeared; 1.48 lakh across 370 centres for 583 posts,"BJP Demands CBI Probe Into Jharkhand Excise Constable Exam Row - The Avenue Mail, https://avenuemail.in/jharkhand-bjp-governor-cbi-probe-excise-constable-exam-leak/",148000.0
14-04-2026,BPSC AEDO and APS/WMO Recruitment Examinations,Bihar Public Service Commission (BPSC),State,Bihar,accused,Both examinations cancelled; FIRs and punitive measures initiated,BPSC said cancellation was over Bluetooth-device cheating attempts at some centres and stressed there was no proof of any question paper being leaked despite viral social media claims,Exams cancelled on Apr 30 after confirmed malpractice attempts combined with misleading leak reports on social media; AEDO exam had drawn 10.97 lakh applications,"""BPSC Bihar AEDO Exam 2026 cancelled after malpractice attempts, check official notice here"" - India TV News, https://www.indiatvnews.com/education/news/bpsc-aedo-exam-2026-cancelled-after-malpractice-attempts-check-official-notice-here-2026-05-01-1039619",1097000.0,Added 2024-2026 (verified news sources),2026,Civil Services & Govt Jobs,"Cancelled/Postponed, no re-exam recorded",Job & recruitment exams,1097000.0,as reported in incident coverage,"""BPSC Bihar AEDO Exam 2026 cancelled after malpractice attempts, check official notice here"" - India TV News, https://www.indiatvnews.com/education/news/bpsc-aedo-exam-2026-cancelled-after-malpractice-attempts-check-official-notice-here-2026-05-01-1039619",1097000.0
